checked_on,cabin,depart_date,return_date,cheapest_price_usd,airline,stops,duration,current_price_signal,booking_url
2026-08-31,premium-economy,2026-12-15,2027-01-15,3457,Cathay Pacific,1,23 hr 55 min,,
2026-09-01,business,2026-11-15,2026-12-16,5537,,Unknown,,typical,
2026-09-01,business,2026-11-18,2026-12-19,5537,,Unknown,,typical,
2026-09-01,business,2026-11-21,2026-12-22,6648,"Air Canada, Emirates",2,37 hr 35 min,typical,
2026-09-01,business,2026-11-24,2026-12-25,4588,,Unknown,,low,
2026-09-01,business,2026-11-27,2026-12-28,5537,Cathay Pacific,1,23 hr 55 min,typical,
2026-09-01,business,2026-11-30,2026-12-31,6730,Cathay Pacific,1,36 hr 25 min,typical,
2026-09-01,business,2026-12-03,2027-01-03,7679,,Unknown,,typical,
2026-09-01,business,2026-12-06,2027-01-06,5637,,Unknown,,typical,
2026-09-01,business,2026-12-09,2027-01-09,7929,Cathay Pacific,1,23 hr 55 min,typical,
2026-09-01,business,2026-12-12,2027-01-12,6980,Cathay Pacific,1,23 hr 55 min,typical,
2026-09-01,business,2026-12-15,2027-01-15,6800,"SWISS, Edelweiss Air, SriLankan",2,34 hr 55 min,typical,
2026-09-01,premium-economy,2026-11-15,2026-12-16,2055,,Unknown,,,
2026-09-01,premium-economy,2026-11-18,2026-12-19,2735,,Unknown,,,
2026-09-01,premium-economy,2026-11-21,2026-12-22,2543,,Unknown,,,
2026-09-01,premium-economy,2026-11-24,2026-12-25,2370,"American, British Airways",2,25 hr 48 min,,
2026-09-01,premium-economy,2026-11-27,2026-12-28,2532,Singapore Airlines,1,24 hr 20 min,,
2026-09-01,premium-economy,2026-11-30,2026-12-31,3180,,Unknown,,,
2026-09-01,premium-economy,2026-12-03,2027-01-03,3821,,Unknown,,,
2026-09-01,premium-economy,2026-12-06,2027-01-06,3199,Cathay Pacific,1,23 hr 55 min,,
2026-09-01,premium-economy,2026-12-09,2027-01-09,3199,Cathay Pacific,1,36 hr 25 min,,
2026-09-01,premium-economy,2026-12-12,2027-01-12,3260,"Alaska, British Airways",2,25 hr 55 min,,
2026-09-01,premium-economy,2026-12-15,2027-01-15,3457,,Unknown,,,
2026-09-01,business,2026-11-15,2026-12-16,5537,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE2agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-11-18,2026-12-19,5537,,Unknown,,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMThqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE5agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-11-21,2026-12-22,6648,,Unknown,,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjFqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTIyagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-11-24,2026-12-25,4588,,Unknown,,low,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjRqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI1agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-11-27,2026-12-28,5537,,Unknown,,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjdqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI4agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-11-30,2026-12-31,6730,,Unknown,,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMzBqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTMxagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-12-03,2027-01-03,7679,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDNqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTAzagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-12-09,2027-01-09,7929,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDlqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA5agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-12-12,2027-01-12,6980,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTJqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTEyagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-12-15,2027-01-15,6800,,Unknown,,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTE1agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-11-21,2026-12-22,2543,"American, British Airways",2,26 hr 23 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjFqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTIyagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-11-24,2026-12-25,2370,"American, British Airways",2,25 hr 48 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjRqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI1agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-11-27,2026-12-28,2532,Singapore Airlines,1,24 hr 20 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjdqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI4agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-11-30,2026-12-31,3180,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMzBqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTMxagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-12-03,2027-01-03,3821,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDNqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTAzagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-12-06,2027-01-06,3199,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDZqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA2agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-12-09,2027-01-09,3199,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDlqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA5agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-12-12,2027-01-12,3260,"Alaska, British Airways",2,25 hr 55 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTJqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTEyagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-12-15,2027-01-15,3457,Cathay Pacific,1,23 hr 55 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTE1agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,business,2026-11-15,2026-12-16,5537,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE2agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-11-18,2026-12-19,5537,,Unknown,,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMThqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE5agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-11-21,2026-12-22,6648,"Air Canada, Emirates",2,37 hr 35 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjFqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTIyagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-11-24,2026-12-25,4588,Cathay Pacific,1,23 hr 55 min,low,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjRqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI1agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-11-27,2026-12-28,5537,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjdqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI4agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-11-30,2026-12-31,6730,Cathay Pacific,1,36 hr 25 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMzBqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTMxagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-12-03,2027-01-03,7679,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDNqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTAzagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-12-06,2027-01-06,5637,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDZqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA2agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-12-09,2027-01-09,7929,,Unknown,,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDlqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA5agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-12-12,2027-01-12,6748,Cathay Pacific,1,36 hr 25 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTJqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTEyagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,business,2026-12-15,2027-01-15,6800,"SWISS, Edelweiss Air, SriLankan",2,34 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTE1agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-11-15,2026-12-16,2055,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE2agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-11-18,2026-12-19,2735,"American, British Airways",2,26 hr 21 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMThqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE5agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-11-21,2026-12-22,2543,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjFqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTIyagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-11-24,2026-12-25,2370,"American, British Airways",2,27 hr 55 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjRqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI1agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-11-27,2026-12-28,2532,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjdqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI4agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-11-30,2026-12-31,3180,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMzBqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTMxagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-12-03,2027-01-03,3821,"EVA Air, THAI",2,34 hr 35 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDNqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTAzagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-12-06,2027-01-06,3199,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDZqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA2agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-12-09,2027-01-09,3199,Cathay Pacific,1,36 hr 25 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDlqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA5agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-12-12,2027-01-12,3260,"Alaska, British Airways",2,25 hr 55 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTJqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTEyagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-01,premium-economy,2026-12-15,2027-01-15,3457,Cathay Pacific,1,23 hr 55 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTE1agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-02,business,2026-11-15,2026-12-16,5537,,Unknown,,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE2agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-02,business,2026-11-18,2026-12-19,5637,,Unknown,,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMThqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE5agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-02,business,2026-11-21,2026-12-22,6944,"Qatar Airways, IndiGo",1,21 hr 25 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjFqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTIyagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-02,business,2026-11-24,2026-12-25,4588,Cathay Pacific,1,23 hr 55 min,low,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjRqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI1agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-02,business,2026-11-27,2026-12-28,5537,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjdqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI4agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-02,business,2026-11-30,2026-12-31,6730,,Unknown,,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMzBqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTMxagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-02,business,2026-12-03,2027-01-03,7679,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDNqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTAzagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-02,business,2026-12-06,2027-01-06,5637,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDZqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA2agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-02,business,2026-12-09,2027-01-09,7929,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDlqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA5agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-02,business,2026-12-12,2027-01-12,6980,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTJqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTEyagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-02,premium-economy,2026-11-15,2026-12-16,2055,"Alaska, British Airways",2,25 hr 8 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE2agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-02,premium-economy,2026-11-18,2026-12-19,2560,"Alaska, British Airways",2,24 hr 47 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMThqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE5agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-02,premium-economy,2026-11-21,2026-12-22,2543,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjFqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTIyagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-02,premium-economy,2026-11-24,2026-12-25,2370,"American, British Airways",2,27 hr 55 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjRqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI1agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-02,premium-economy,2026-11-27,2026-12-28,2531,Singapore Airlines,1,24 hr 20 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjdqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI4agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-02,premium-economy,2026-11-30,2026-12-31,3180,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMzBqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTMxagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-02,premium-economy,2026-12-03,2027-01-03,3821,"EVA Air, THAI",2,34 hr 35 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDNqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTAzagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-02,premium-economy,2026-12-06,2027-01-06,3199,Cathay Pacific,1,23 hr 55 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDZqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA2agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-02,premium-economy,2026-12-09,2027-01-09,3199,Cathay Pacific,1,36 hr 25 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDlqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA5agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-02,premium-economy,2026-12-12,2027-01-12,3391,Cathay Pacific,1,36 hr 25 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTJqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTEyagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-02,premium-economy,2026-12-15,2027-01-15,3457,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTE1agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-03,business,2026-11-15,2026-12-16,6460,,Unknown,,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE2agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-03,business,2026-11-18,2026-12-19,6723,British Airways,1,22 hr 30 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMThqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE5agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
